Company,Product,Last Name,First Name,Telephone,Deal Status,Completion Date,Sales Code,Type of Contact,Call Attempt #1,Call Attempt #2,Call Attempt #3,Subscription Plan,Follow up,Type Of Contact,Last Name of Sales Rep,First Name of Sales Rep,Title of Sales Rep,Comments
Salesforce,Professional,Austin,Joe,203-431-9334,,,,Social Media,,,2023-04-20,6 Mo,,,Harris,Danielle,Manager,
VMware,Professional,Hart,Justin,(589)544-8192,Follow Up,2013-09-04,UPG,,,,2023-06-01,1 Mo,2023-01-02,Telephonic,Morris,Donna,Closer,
IBM,Solo,Gallegos,Mark,2256511727,No Deal,2015-01-21,UPG,Email,,2023-05-07,,18 Mo,,Telephonic,Warren,Richard,Manager,
HP,Enterprise,Sherman,Christian,9389776089,Follow Up,2005-05-31,,,,2023-04-30,2023-02-04,,,In Person,Mendoza,Kathy,,
NEC,Enterprise,Church,John,375-972-7781,Closed,,UPG,In Person,,2023-03-20,,1 Mo,2023-02-04,,Massey,David,Manager,
NTT Advanced Technology,Enterprise,Rios,Jason,451-512-2699,,2023-06-12,UPG,Email,,2023-01-07,2023-03-02,12 Mo,2023-06-19,Telephonic,Thompson,Jamie,Closer,
NTT Data,Professional,Brown,Jeffrey,5449758790,Interested,,NEW,In Person,,2023-04-18,2023-02-24,,,In Person,Jones,Kristen,Closer,
Salesforce,Enterprise,Richards,Jaime,774-288-8342,No Deal,2007-03-25,,In Person,,2023-01-09,2023-02-12,1 Mo,,,Lutz,Marcus,Manager,
Amazon,Enterprise,Sanchez,Ian,533-268-4624,,2011-06-01,RPT,Telephonic,2023-03-12,2023-01-13,2023-05-20,6 Mo,2023-06-29,Telephonic,Williams,Jessica,Associate,
NTT DATA Business Solutions,Solo,Gray,Shari,5592207850,,,NEW,,2023-02-23,,,6 Mo,2023-05-11,,Watson,Tammy,,
NEC,Professional,Cooper,Brian,240-808-5701,No Deal,,,Email,,,2023-05-05,1 Mo,,,Castro,Gilbert,,
NTT Security,Enterprise,Sheppard,Darius,(917)977-6516,,2007-03-21,RPT,,,2023-06-18,,6 Mo,,,Jones,Stacy,Closer,
Huawei,Professional,Munoz,Larry,204-329-1518,Interested,2016-03-23,RPT,,,,,,,,Welch,Brandy,Manager,
NTT Finance,Professional,Hoffman,Jesse,264-850-2430,,2004-09-25,ADD,Email,,2023-02-15,,,2023-03-16,Telephonic,Jones,Justin,,
NTT DATA Business Solutions,Enterprise,Powers,Mary,708-815-8271,Closed,2013-03-04,UPG,Social Media,,,,18 Mo,,Telephonic,Stark,Steven,Manager,
NTT Urban Development,Enterprise,Mullins,Maria,(573)935-9557,,2023-05-06,RPT,Telephonic,,,,18 Mo,,Telephonic,Mendoza,Robert,Manager,
Apple,Solo,Riddle,Timothy,5048357330,Follow Up,,UPG,In Person,2023-04-17,2023-03-18,,18 Mo,2023-03-10,,Murray,Kimberly,Manager,
HPE,Professional,Chang,Kimberly,(487)276-2389,Closed,2010-12-26,UPG,,,,2023-04-23,18 Mo,,In Person,Ramos,Andrea,Manager,
Cisco,Professional,Osborn,Shane,(277)721-6263,Interested,2014-06-04,NEW,Email,,2023-02-20,,18 Mo,,In Person,Underwood,Rita,Associate,
Google,Enterprise,Jones,Janet,9244377983,Interested,,NEW,In Person,,2023-04-22,2023-01-31,1 Mo,,,Williams,Patty,,
NTT DATA Business Solutions,Professional,Jones,Vanessa,363-794-9855,,2023-06-25,NEW,Social Media,,,,6 Mo,,In Person,Ortiz,Stephen,Closer,
SAP,Professional,Ball,Michelle,(715)826-3120,Closed,2022-09-14,UPG,,,2023-03-06,,6 Mo,2023-05-04,Telephonic,Bryant,Kelli,Associate,
HP,Enterprise,Davis,David,7483376394,No Deal,,NEW,,,,,,,Telephonic,Miller,Adam,Manager,
HP,Enterprise,Hernandez,Krista,(969)483-1539,,2004-08-15,UPG,,,2023-05-06,,12 Mo,,Telephonic,Rowe,Lori,,
HP,Enterprise,Wagner,April,4267544442,No Deal,,UPG,,,2023-02-18,2023-01-26,18 Mo,,,Reid,Jeremy,,
Apple,Enterprise,Ramirez,Barbara,533-909-7133,Follow Up,2010-01-15,ADD,Social Media,,2023-02-23,2023-02-08,1 Mo,2023-04-13,Telephonic,Vazquez,Amanda,Manager,
Google,Solo,Strickland,Vanessa,6605334166,Closed,,,Telephonic,,,,1 Mo,,,Gonzalez,Megan,Manager,
SAP,Enterprise,Brennan,Stephanie,3645327357,Follow Up,2016-04-01,NEW,Social Media,,,,12 Mo,,,Cabrera,Lorraine,Associate,
Adobe,Enterprise,Jacobs,Claudia,(563)481-3540,No Deal,,ADD,,,,2023-03-21,6 Mo,,,Patterson,Jennifer,,
NTT Security,Enterprise,Walker,Benjamin,467-200-2098,Follow Up,,,In Person,,,,6 Mo,,In Person,Roth,Christopher,Manager,
SAP,Professional,Norman,Richard,(284)790-0576,,2017-01-30,RPT,In Person,,2023-06-19,,18 Mo,,In Person,Dawson,Robert,Associate,
HPE,Professional,Ramirez,Claudia,962-960-0374,No Deal,,RPT,Social Media,2023-05-18,2023-01-19,2023-04-28,1 Mo,,In Person,Rice,Roger,Manager,
Dell,Solo,Collins,Bradley,9083086167,Closed,2012-01-30,UPG,Expo Event,,,,1 Mo,,Telephonic,Price,Daniel,Closer,
IBM,Enterprise,Lawrence,Kim,617-989-4719,No Deal,2020-08-15,UPG,Telephonic,2023-03-10,2023-06-16,,18 Mo,,,Williams,Robert,,
NTT Advanced Technology,Solo,Smith,Andrew,264-516-3279,Interested,2016-09-17,UPG,,,,,,,Telephonic,Brown,Carla,Associate,
NTT Finance,Enterprise,Maldonado,Michael,(492)401-3601,Closed,2007-11-09,,Social Media,,2023-04-12,2023-06-29,6 Mo,,,Rodriguez,Lawrence,Closer,
Huawei,Professional,Hayes,Daniel,(236)606-6235,Interested,,UPG,Telephonic,,2023-05-21,,1 Mo,2023-02-09,Telephonic,Best,Andrew,Associate,
Adobe,Enterprise,Potter,Laura,440-483-5839,No Deal,,NEW,,,2023-03-27,,1 Mo,,,Thomas,Cristian,Manager,
Intel,Solo,Horne,Crystal,9292951062,Interested,2019-09-18,ADD,Social Media,2023-04-03,2023-05-25,2023-03-05,12 Mo,,In Person,Blair,Jessica,Associate,
Apple,Enterprise,Watson,Lisa,663-231-2407,No Deal,,ADD,Social Media,,2023-06-28,2023-02-19,6 Mo,2023-05-25,,West,Caleb,,
Microsoft,Solo,Smith,Nicole,6742545036,Follow Up,2016-08-01,UPG,Telephonic,,2023-04-01,,1 Mo,2023-03-28,In Person,Fisher,Andre,Manager,
Microsoft,Enterprise,Jones,Michelle,826-834-1050,Closed,2017-02-28,UPG,Email,2023-01-14,,,,,Telephonic,Greer,Amanda,,
NTT Urban Development,Professional,Paul,Valerie,445-633-2232,No Deal,,RPT,In Person,,2023-06-07,,12 Mo,,,Nicholson,Christopher,,
Microsoft,Enterprise,Floyd,Jessica,4815935862,,,RPT,Telephonic,,2023-03-25,2023-04-23,18 Mo,,In Person,Thornton,Sabrina,Manager,
NTT Finance,Professional,Williamson,Claudia,608-237-9326,Closed,2015-08-27,UPG,Email,,2023-03-17,2023-01-24,1 Mo,2023-04-10,,Gay,Linda,,
Intel,Enterprise,Cruz,Breanna,7083361709,No Deal,,,Social Media,,,,18 Mo,,Telephonic,Harris,Jacqueline,Associate,
NTT TechnoCross,Enterprise,Johnson,Peter,(394)333-7560,Follow Up,,ADD,In Person,,2023-02-19,,12 Mo,,Telephonic,Oneal,Lori,Closer,
SAP,Professional,Hammond,Jennifer,582-309-8282,,2003-06-18,,Expo Event,,2023-03-20,2023-03-19,6 Mo,2023-06-09,,White,Steven,,
SAP,Solo,Williams,Teresa,744-432-9609,Interested,,RPT,Expo Event,,,,12 Mo,2023-01-02,,Scott,Dawn,Closer,
IBM,Solo,Cherry,Daniel,472-457-7045,,,UPG,Telephonic,,2023-02-25,,1 Mo,,Telephonic,Ford,Gregg,,
Adobe,Solo,Olson,Robert,989-750-3614,Closed,,UPG,Email,,2023-06-18,,18 Mo,,Telephonic,Walls,Sophia,Manager,
NTT DATA Business Solutions,Enterprise,Kramer,Corey,2606646733,Follow Up,,RPT,Telephonic,,2023-02-07,,12 Mo,,,Costa,James,Associate,
Intel,Professional,Knight,Kathy,897-570-5957,No Deal,2010-10-25,NEW,Expo Event,,2023-06-16,2023-03-30,12 Mo,,Telephonic,Estrada,Mark,Closer,
VMware,Solo,Boone,Stephen,(955)698-1643,Closed,2021-12-18,,Social Media,,2023-01-31,2023-04-08,6 Mo,2023-01-21,Telephonic,Green,Sandra,Closer,
VMware,Professional,Harris,Jay,(687)974-2702,Closed,2003-09-26,ADD,,,2023-05-26,,1 Mo,,,Thomas,Joseph,Closer,
Facebook,Enterprise,Walker,Melvin,2085099929,Closed,2018-01-07,,Social Media,,2023-01-24,2023-01-06,1 Mo,,Telephonic,Smith,James,Manager,
Dell,Solo,Aguirre,Sara,(354)601-6642,No Deal,,,Social Media,,2023-06-17,,1 Mo,2023-05-01,In Person,Kelly,Rick,Manager,
NTT Finance,Professional,Holt,David,6364875888,Interested,2002-07-03,UPG,Social Media,,2023-05-18,,18 Mo,,,Johnson,Aaron,Closer,
Oracle,Professional,Burns,Christina,355-989-7624,,2006-05-25,ADD,Social Media,,,,18 Mo,,In Person,Robinson,Scott,,
NTT Advanced Technology,Enterprise,Miranda,Kristin,8936797889,No Deal,2004-01-13,,In Person,2023-06-17,,,18 Mo,,,Shannon,Maria,,
Apple,Professional,Hart,Robert,8922224352,Follow Up,2017-09-11,RPT,,2023-02-16,2023-02-05,,,,,Greer,Jacqueline,Closer,
Salesforce,Professional,Miller,Matthew,(877)597-5417,,2020-11-04,,Email,,2023-06-10,2023-01-15,12 Mo,2023-04-30,Telephonic,Wood,Margaret,Closer,
NTT DOCOMO,Professional,Guzman,Matthew,448-407-8620,Closed,2009-11-25,,In Person,,2023-01-30,2023-03-03,12 Mo,,Telephonic,Duarte,Samantha,,
Huawei,Professional,Gonzales,Traci,(254)343-5434,Closed,2009-12-24,NEW,Expo Event,,2023-01-19,,12 Mo,,,Harris,Dawn,,
NTT Security,Enterprise,Norton,Robert,(514)559-4846,Closed,2004-04-17,ADD,Telephonic,,2023-01-12,,12 Mo,,In Person,Lewis,Angela,Manager,
Oracle,Professional,Jackson,Jennifer,501-321-6593,Follow Up,,UPG,,,2023-01-29,,18 Mo,,In Person,Lester,Alison,Associate,
NTT Finance,Enterprise,Horton,Jeremiah,(344)878-1523,,,,,,2023-01-28,,,,Telephonic,Foster,Kimberly,,
Adobe,Enterprise,Terry,Barbara,(953)452-1794,Closed,2017-11-22,,Telephonic,,2023-02-21,,12 Mo,,,Williams,Tara,Closer,
NTT Communications,Solo,Richard,Monica,(674)685-1376,Follow Up,,RPT,Expo Event,,2023-06-21,2023-04-01,6 Mo,,,Turner,Brittany,Manager,
NTT Security,Solo,Farmer,Elizabeth,(409)807-2151,No Deal,2019-10-19,ADD,,,2023-06-27,,12 Mo,,Telephonic,Hernandez,Kendra,,
Cisco,Professional,Jones,Shannon,(749)990-9871,No Deal,,UPG,Email,2023-03-09,2023-05-06,,18 Mo,2023-05-05,,Andrews,Tricia,Closer,
HPE,Solo,Nelson,James,9849955459,,2019-07-08,ADD,,,2023-01-22,,12 Mo,,In Person,Cross,Dennis,Associate,
Cisco,Enterprise,Tyler,Randall,313-399-2732,No Deal,,UPG,Telephonic,,2023-05-09,2023-04-25,,,In Person,Paul,Heather,Associate,
NTT Advanced Technology,Solo,Barnes,Emily,9449411246,Interested,2004-01-04,ADD,Email,,2023-06-12,2023-02-03,1 Mo,2023-01-01,Telephonic,Giles,Michelle,,
NTT Advanced Technology,Professional,Cox,Craig,719-804-7885,No Deal,2005-07-30,,Expo Event,,2023-04-03,,,2023-06-29,Telephonic,Moore,Richard,Closer,
Amazon,Professional,Martinez,Anthony,7134807828,No Deal,,RPT,,,,2023-03-15,12 Mo,,Telephonic,Kim,Tracy,Closer,
VMware,Professional,Cunningham,Taylor,221-331-2846,No Deal,,UPG,In Person,,2023-04-09,2023-04-10,12 Mo,,Telephonic,Moore,Anthony,Manager,
Facebook,Solo,Morris,Lindsey,5806999813,,2023-05-08,NEW,,,2023-06-22,2023-06-19,12 Mo,,Telephonic,Norman,Linda,,
NTT TechnoCross,Enterprise,Baker,Katherine,(295)691-9012,No Deal,2013-03-17,NEW,,,2023-03-23,2023-06-27,18 Mo,2023-03-22,Telephonic,Morales,Mary,,
Google,Solo,Ibarra,Shannon,8774481286,,2016-11-22,UPG,Telephonic,2023-02-19,2023-01-16,,12 Mo,2023-02-27,Telephonic,Gardner,Diane,Manager,
SAP,Enterprise,Mcintyre,Scott,714-832-1438,Closed,2018-12-01,,Telephonic,,,,6 Mo,2023-04-06,,Anderson,Joyce,Closer,
VMware,Enterprise,Baird,Tracy,360-814-7118,Closed,2022-08-28,NEW,In Person,,,,1 Mo,,In Person,Santiago,Casey,Closer,
NTT,Enterprise,Weaver,Kelly,561-925-1961,No Deal,2022-11-16,ADD,Social Media,,,,12 Mo,,In Person,Gibbs,Andre,,
NTT Security,Professional,Stein,Christopher,(348)937-6327,No Deal,2003-09-09,ADD,Expo Event,,2023-02-27,,12 Mo,,In Person,Mills,David,,
NTT DATA Business Solutions,Solo,Ochoa,Michael,331-978-6538,No Deal,,UPG,Social Media,,2023-02-01,2023-05-28,12 Mo,,Telephonic,Brennan,Nicole,Manager,
NTT Security,Solo,Knox,Patrick,(201)776-6245,Interested,,NEW,Email,2023-05-10,2023-06-15,,1 Mo,2023-06-01,In Person,James,Christy,Closer,
NTT Advanced Technology,Solo,Herrera,Willie,(623)975-8714,No Deal,2015-02-14,,Email,2023-06-04,,,1 Mo,,,Anthony,Kevin,,
HP,Enterprise,Compton,Jeremy,3872810718,,2021-01-30,ADD,,,,2023-05-17,1 Mo,,,Jordan,Miranda,Manager,
Microsoft,Professional,Thompson,Erika,662-649-3991,Closed,2005-12-20,RPT,Expo Event,,2023-01-03,,,2023-03-01,In Person,Morrow,Stacy,Associate,
NTT Urban Development,Professional,Cook,Scott,(899)410-5711,Closed,2014-03-15,,Expo Event,,,,,,Telephonic,Mcintyre,Kelly,Associate,
Adobe,Enterprise,Rodriguez,Matthew,(815)794-7684,Follow Up,,NEW,In Person,,2023-01-27,,12 Mo,2023-03-04,In Person,Schmidt,Pamela,Manager,
NTT Advanced Technology,Professional,Johnson,Alexandra,(234)887-6750,Closed,2003-11-09,NEW,Email,2023-03-06,,2023-03-04,6 Mo,2023-04-22,,Wilkinson,Brenda,Associate,
NEC,Solo,Smith,Mark,475-587-4291,,2004-12-11,UPG,Social Media,2023-05-18,2023-02-24,,18 Mo,,,Moreno,Vicki,,
NTT DOCOMO,Professional,Long,Jerry,(750)597-9609,Closed,2016-11-20,ADD,Email,,,2023-04-04,,,,Perez,Shannon,Closer,
Facebook,Professional,Estrada,David,2767660552,,2014-10-31,NEW,Social Media,,2023-03-04,2023-01-04,18 Mo,,,Stewart,Manuel,Closer,
NTT DOCOMO,Professional,Trujillo,Evelyn,9545235487,Interested,,NEW,Social Media,,2023-01-26,2023-03-19,,2023-05-03,In Person,Burns,Pamela,,
Facebook,Enterprise,Blanchard,Timothy,2246381966,Follow Up,,ADD,Email,,2023-04-19,2023-03-06,12 Mo,,In Person,Leon,Hannah,Closer,
NTT Communications,Solo,Anderson,Brandon,(990)392-1574,Follow Up,,UPG,,,2023-02-17,2023-01-05,6 Mo,2023-06-23,Telephonic,Gomez,Pamela,Manager,
NEC,Professional,Tran,Amanda,8145479898,Interested,,,Social Media,,2023-01-01,2023-06-29,1 Mo,,Telephonic,Hardin,John,Manager,
NTT Advanced Technology,Enterprise,Jones,Angela,6344952500,,2018-12-10,RPT,Social Media,,,2023-06-22,,,In Person,Fowler,Christopher,Associate,
IBM,Professional,Barnes,Wesley,2348278797,Closed,2007-11-04,ADD,,,2023-01-19,,,2023-03-15,,White,Jennifer,,
Huawei,Enterprise,Wyatt,Terry,278-625-7945,,,RPT,Social Media,,2023-03-07,2023-04-18,6 Mo,,,Forbes,Jeremy,Associate,
HPE,Professional,Perkins,Nancy,(306)580-1528,Follow Up,,RPT,Social Media,,2023-03-20,2023-03-24,6 Mo,,Telephonic,Sosa,Jennifer,,
Intel,Enterprise,Patel,Eric,9906104092,No Deal,,NEW,In Person,,2023-02-20,,1 Mo,,,Moore,Jeffery,Closer,
NTT TechnoCross,Enterprise,Santiago,Dalton,5689063316,No Deal,,UPG,,,,,,,Telephonic,Wilson,Cynthia,,
HP,Enterprise,Schultz,Timothy,(336)739-5358,Interested,,UPG,Social Media,,2023-03-14,,18 Mo,,,Tyler,Zachary,,
Google,Solo,Brown,Michael,4664836362,Interested,2007-09-11,UPG,Email,,2023-05-13,2023-01-12,18 Mo,2023-04-12,In Person,Bender,Ryan,,
Huawei,Enterprise,Turner,Cynthia,645-820-1592,Follow Up,2013-06-25,UPG,Email,,2023-06-24,2023-05-25,1 Mo,,,Johnston,Patricia,,
NTT DATA Business Solutions,Professional,Buck,Christine,(969)459-5698,,2022-08-25,RPT,Telephonic,2023-05-02,2023-05-10,,,,Telephonic,Williams,Kenneth,,
NTT DOCOMO,Professional,Conrad,Marissa,736-253-0347,Follow Up,,ADD,Expo Event,,,,18 Mo,,Telephonic,Young,Eric,,
NTT Advanced Technology,Solo,Schwartz,Monique,(522)983-7659,No Deal,2018-08-15,UPG,Email,,,,12 Mo,2023-06-18,Telephonic,Norman,Becky,Closer,
Huawei,Enterprise,Goodwin,Joe,(340)612-5000,,2006-12-23,,Telephonic,,2023-04-14,,12 Mo,2023-03-22,,Haynes,Mary,,
NTT,Professional,Bray,Jennifer,582-785-3900,No Deal,2019-02-05,,Expo Event,,,,18 Mo,,,Lee,Kelsey,Manager,
Oracle,Professional,Foster,Christopher,9458194651,No Deal,,,,,2023-05-07,2023-01-18,,,In Person,Kaiser,Daniel,Associate,
NTT,Solo,Miller,Kelly,470-703-2462,Follow Up,2017-09-02,UPG,,,,,6 Mo,2023-06-27,,Parker,Glenn,Manager,
IBM,Enterprise,Mclaughlin,Savannah,(976)292-8988,No Deal,,NEW,In Person,2023-02-16,2023-05-05,,12 Mo,,Telephonic,Davis,Brittany,Manager,
SAP,Enterprise,Johnson,Matthew,(238)215-1969,Closed,2010-10-21,ADD,In Person,,2023-03-25,,18 Mo,,In Person,Silva,Joseph,Associate,
NTT DATA Business Solutions,Professional,Johnson,Russell,918-331-6606,Closed,2005-09-17,ADD,,,2023-02-20,,6 Mo,,Telephonic,Hull,Anthony,Manager,
NTT TechnoCross,Solo,Miller,Patrick,3755056511,Interested,2010-11-10,,Email,,2023-03-26,2023-02-24,,,Telephonic,Lawson,Karina,,
NEC,Enterprise,Hamilton,Tanya,868-332-7067,Closed,,ADD,Expo Event,,2023-04-27,2023-05-26,6 Mo,2023-02-02,,Hart,Laura,Associate,
Apple,Professional,Spencer,Thomas,(773)240-2872,Closed,2022-09-30,,,,2023-02-10,,12 Mo,,,Vasquez,Isaac,Associate,
Adobe,Enterprise,Hicks,Jacqueline,(238)455-1230,Closed,,RPT,Telephonic,,2023-06-08,,12 Mo,2023-02-21,,Davis,Tommy,Closer,
NTT Advanced Technology,Enterprise,Reynolds,Brian,(670)232-9267,No Deal,,,Telephonic,,2023-04-24,,12 Mo,2023-03-05,In Person,Wood,Deborah,Associate,
Google,Professional,Morrison,Sharon,3203458762,No Deal,2009-04-12,NEW,In Person,,,2023-03-10,12 Mo,,In Person,Villegas,Jennifer,Associate,
Cisco,Professional,Moreno,Hunter,(683)417-6370,,2008-06-10,RPT,Expo Event,2023-03-04,,2023-05-15,18 Mo,2023-05-19,Telephonic,Compton,Cameron,Manager,
Huawei,Enterprise,Briggs,Troy,3015502324,Interested,2011-02-12,ADD,Telephonic,2023-05-01,2023-05-06,,1 Mo,2023-05-30,In Person,Taylor,Kathryn,Closer,
NTT DATA Business Solutions,Solo,Coleman,Angel,8759560546,Interested,,,,,,,,,,Adams,Darlene,Closer,
NTT Communications,Enterprise,Edwards,Michael,301-727-0149,Closed,2020-07-14,,,,,,6 Mo,,In Person,Fisher,Tricia,Associate,
SAP,Solo,Munoz,Brandon,7487157958,No Deal,2019-07-18,RPT,Social Media,,,,,2023-03-25,Telephonic,Smith,Keith,Associate,
Huawei,Enterprise,King,James,(490)642-3367,Closed,,,In Person,,2023-04-18,2023-05-26,6 Mo,,In Person,Hall,Aaron,Closer,
Amazon,Solo,Johnson,Kelly,624-304-8775,Closed,,RPT,Social Media,,2023-04-29,2023-02-01,,,Telephonic,Myers,Dawn,Closer,
NTT Urban Development,Solo,Johnson,April,(350)200-5454,No Deal,2010-03-28,,Telephonic,2023-02-25,2023-05-18,2023-02-23,1 Mo,,Telephonic,Price,Laura,Associate,
Huawei,Solo,Turner,Michelle,5467183948,Follow Up,2008-06-26,ADD,Social Media,,,2023-05-24,6 Mo,2023-01-14,In Person,Mathews,Bryan,,
NTT Finance,Professional,Walker,Kimberly,795-280-1158,Closed,2010-01-12,,Expo Event,2023-06-25,,,6 Mo,,In Person,Heath,Mark,Closer,
NTT Finance,Solo,Henderson,Peter,2557583711,Follow Up,2015-08-29,,Telephonic,,2023-02-21,,1 Mo,,,Webb,Christy,Associate,
Salesforce,Professional,Lopez,Lisa,8952299905,No Deal,2008-08-11,NEW,In Person,2023-01-16,,2023-03-06,18 Mo,,Telephonic,Davis,Alexandria,Associate,
NTT Advanced Technology,Solo,Wood,Pamela,(582)674-0007,Follow Up,2022-03-14,NEW,Telephonic,,2023-03-17,,18 Mo,,In Person,Moran,Mercedes,,
NTT Security,Solo,Gonzalez,Thomas,2865848629,No Deal,2012-02-08,ADD,Email,,2023-01-25,,18 Mo,2023-01-20,In Person,Mckenzie,Karen,Associate,
Microsoft,Professional,Garcia,Tammy,9802298823,Follow Up,,UPG,,,2023-04-19,,,,,Steele,Nancy,Closer,
HPE,Enterprise,Sawyer,Brenda,4876899192,No Deal,2006-01-20,UPG,Expo Event,,,,6 Mo,,Telephonic,Chavez,Sean,Associate,
NTT Finance,Professional,Johnson,Kimberly,9935348959,Interested,2002-11-03,NEW,Telephonic,,2023-05-13,2023-04-03,12 Mo,2023-01-23,In Person,Howell,Elizabeth,Associate,
NTT,Professional,Barber,Sabrina,5442829506,No Deal,2022-04-28,,Social Media,,,2023-01-21,12 Mo,,Telephonic,Wagner,John,Associate,
SAP,Solo,Santos,Seth,6415741504,,2005-03-25,,Email,2023-05-17,2023-06-04,2023-01-14,18 Mo,2023-04-11,In Person,Gilmore,Kimberly,Manager,
Huawei,Enterprise,Landry,Jessica,470-972-2712,,2018-06-17,,Expo Event,,2023-05-15,,,,Telephonic,White,Linda,Manager,
Amazon,Professional,Taylor,Joy,231-825-8211,Closed,2011-09-19,RPT,,,2023-01-03,2023-04-20,1 Mo,,,Hall,Patricia,Manager,
NTT TechnoCross,Solo,Edwards,Craig,9189044429,,2018-09-28,,,,2023-01-26,2023-06-09,1 Mo,,Telephonic,Brooks,Sheena,,
NTT Communications,Professional,Williams,Shawn,882-307-1448,No Deal,,ADD,In Person,,,,6 Mo,,In Person,Lindsey,Teresa,,
HP,Solo,Barnes,Zachary,(279)905-4834,,,NEW,Telephonic,,,,1 Mo,,,Lopez,Glenda,Associate,
VMware,Enterprise,Dawson,Willie,563-927-9144,Follow Up,2003-07-28,ADD,Telephonic,,2023-05-15,2023-02-05,12 Mo,2023-02-06,In Person,Gonzalez,Megan,Closer,
Apple,Professional,Sandoval,Lynn,(708)661-8758,No Deal,2008-12-07,,Social Media,,2023-06-29,,,,Telephonic,Nolan,Peter,Associate,
Apple,Professional,Smith,Susan,6775485546,,2012-12-28,,Email,2023-03-24,,2023-06-15,12 Mo,,In Person,Wallace,Briana,,
Huawei,Enterprise,Whitehead,Roberta,(523)692-6928,Closed,2005-07-31,ADD,,,,,,,,Reyes,Rita,Closer,
NTT Security,Professional,Elliott,Michael,800-439-4591,Follow Up,,,In Person,,2023-01-03,2023-04-14,18 Mo,,In Person,Taylor,Larry,Closer,
NTT Finance,Professional,Eaton,Barbara,473-966-6955,No Deal,2013-05-07,NEW,Email,,2023-04-06,,12 Mo,,,Chavez,William,Associate,
Intel,Solo,Ryan,Crystal,(783)926-2401,Interested,,ADD,In Person,2023-03-24,2023-06-27,,6 Mo,,,Clark,Sarah,Associate,
NTT DATA Business Solutions,Professional,Mitchell,David,904-404-0474,Closed,,,Social Media,2023-04-30,2023-02-09,2023-04-19,1 Mo,,Telephonic,Espinoza,Natasha,,
NTT Data,Enterprise,Evans,Melanie,487-478-5593,Follow Up,2020-02-02,UPG,Email,,,,,,In Person,Moore,James,Associate,
NTT Advanced Technology,Solo,Harris,Melissa,313-960-9023,Interested,2016-08-11,UPG,Expo Event,,2023-03-20,2023-06-06,6 Mo,2023-06-21,Telephonic,Kirk,Joel,,
Google,Professional,Martin,Jordan,8759175433,,,RPT,Telephonic,,,,,2023-01-24,Telephonic,Morales,Erin,Manager,
Apple,Enterprise,Cohen,Brian,(771)792-4355,,,NEW,Social Media,,2023-05-08,,18 Mo,2023-05-02,In Person,Hall,Carol,Associate,
NTT Communications,Professional,Davis,Benjamin,(701)855-0421,,,,Email,,2023-01-19,,,2023-04-14,Telephonic,Garcia,Michelle,Closer,
Huawei,Professional,Knox,Cody,(411)510-2332,No Deal,,ADD,Telephonic,,2023-01-20,2023-02-01,1 Mo,,,Smith,Melinda,Manager,
Salesforce,Solo,Phelps,Michelle,884-429-2264,,2022-04-13,ADD,,2023-02-27,2023-06-13,,6 Mo,2023-02-12,,Beck,Lisa,Manager,
Amazon,Enterprise,Jackson,Richard,(810)889-7950,No Deal,,UPG,,,2023-04-06,,1 Mo,,Telephonic,Young,Gary,Closer,
Cisco,Solo,Vaughan,Veronica,(306)553-8301,No Deal,,RPT,Email,,,2023-02-18,6 Mo,,In Person,Jones,Michele,,
Google,Solo,Watkins,William,(457)859-3667,Follow Up,,NEW,Expo Event,,2023-05-01,2023-02-05,,,Telephonic,Miller,Anna,Closer,
Cisco,Professional,Rodriguez,Hannah,5754907027,Follow Up,,,Telephonic,2023-05-06,2023-01-08,,1 Mo,,,Nolan,Deborah,Manager,
Amazon,Solo,Green,Diane,(490)593-9668,,2020-06-20,,Telephonic,,,,12 Mo,,Telephonic,Clark,Jacqueline,Manager,
NTT Advanced Technology,Enterprise,Goodman,Tina,665-601-5636,No Deal,,ADD,,2023-04-13,2023-03-03,2023-04-22,12 Mo,,,Gallagher,Terry,Closer,
VMware,Solo,Hanson,Jason,(772)302-7004,,2007-07-18,,Social Media,2023-04-19,2023-01-21,,18 Mo,,,Clarke,Jennifer,,
Facebook,Enterprise,Kim,Andrea,(549)529-4927,Closed,,UPG,Expo Event,,2023-06-23,2023-01-03,18 Mo,,In Person,Wheeler,Stacey,Manager,
NTT Data,Enterprise,Mendoza,Kevin,846-521-2058,No Deal,2022-08-13,ADD,,2023-06-08,,2023-05-12,,,In Person,Parker,Darrell,,
Microsoft,Professional,Newman,Jennifer,7978983770,Closed,,RPT,Social Media,,2023-02-20,,18 Mo,,In Person,Lyons,Caleb,Associate,
IBM,Professional,Gray,Patricia,(693)611-3134,No Deal,2004-04-18,,In Person,,2023-03-02,2023-01-16,,,,Lam,Jose,Closer,
NTT Urban Development,Professional,Roach,Catherine,871-494-0907,Interested,2014-08-04,RPT,Expo Event,,2023-03-11,2023-03-05,12 Mo,,Telephonic,Dyer,Matthew,Closer,
Apple,Professional,Lopez,Michael,8885402806,Closed,,NEW,Social Media,,,,12 Mo,,In Person,Sanders,Allison,,
Huawei,Enterprise,Horton,Julie,362-858-3286,Interested,,RPT,Expo Event,2023-03-30,,,1 Mo,,In Person,Salazar,Joseph,Manager,
